stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000011653	9606.ENSP00000428220	CD4	IRGM	9606	0.201	0	0	0	0.061	0	0	0.185
9606.ENSP00000011653	9606.ENSP00000428220	CD4	IRGM	9606	0.201	0	0	0	0.061	0	0	0.185
9606.ENSP00000011653	9606.ENSP00000221452	CD4	RELB	9606	0.205	0	0	0	0.065	0	0	0.185
9606.ENSP00000011653	9606.ENSP00000221452	CD4	RELB	9606	0.205	0	0	0	0.065	0	0	0.185
9606.ENSP00000011653	9606.ENSP00000222139	CD4	EPOR	9606	0.208	0	0	0	0	0	0	0.208
9606.ENSP00000011653	9606.ENSP00000222139	CD4	EPOR	9606	0.208	0	0	0	0	0	0	0.208
9606.ENSP00000011653	9606.ENSP00000263056	CD4	MAP3K8	9606	0.215	0	0	0	0	0	0	0.215
9606.ENSP00000011653	9606.ENSP00000263056	CD4	MAP3K8	9606	0.215	0	0	0	0	0	0	0.215
9606.ENSP00000011653	9606.ENSP00000329418	CD4	SOCS1	9606	0.216	0	0	0	0	0	0	0.216
9606.ENSP00000011653	9606.ENSP00000329418	CD4	SOCS1	9606	0.216	0	0	0	0	0	0	0.216
9606.ENSP00000011653	9606.ENSP00000403495	CD4	LTA	9606	0.217	0	0	0	0.064	0	0	0.198
9606.ENSP00000011653	9606.ENSP00000403495	CD4	LTA	9606	0.217	0	0	0	0.064	0	0	0.198
9606.ENSP00000011653	9606.ENSP00000276431	CD4	TNFRSF10B	9606	0.217	0	0	0	0	0	0	0.217
9606.ENSP00000011653	9606.ENSP00000276431	CD4	TNFRSF10B	9606	0.217	0	0	0	0	0	0	0.217
9606.ENSP00000011653	9606.ENSP00000427279	CD4	CXCL2	9606	0.217	0	0	0	0	0	0	0.217
9606.ENSP00000011653	9606.ENSP00000427279	CD4	CXCL2	9606	0.217	0	0	0	0	0	0	0.217
9606.ENSP00000011653	9606.ENSP00000290200	CD4	IL10RB	9606	0.22	0	0	0	0	0	0	0.22
9606.ENSP00000011653	9606.ENSP00000290200	CD4	IL10RB	9606	0.22	0	0	0	0	0	0	0.22
9606.ENSP00000011653	9606.ENSP00000360730	CD4	IL13RA1	9606	0.22	0	0	0	0	0	0	0.22
9606.ENSP00000011653	9606.ENSP00000360730	CD4	IL13RA1	9606	0.22	0	0	0	0	0	0	0.22
9606.ENSP00000011653	9606.ENSP00000346839	CD4	FN1	9606	0.22	0	0	0	0	0	0	0.22
9606.ENSP00000011653	9606.ENSP00000346839	CD4	FN1	9606	0.22	0	0	0	0	0	0	0.22
9606.ENSP00000011653	9606.ENSP00000387211	CD4	IL18R1	9606	0.221	0	0	0	0.084	0	0	0.185
